product_id,product_name,category,brand,price,rating,stock,discount_percent,seller,description
P10001,Mamaearth Moisturizer,Beauty,Mamaearth,1093.14,4.5,241,10,DailyDeals,Mamaearth Moisturizer is a budget-friendly beauty product with ergonomic design. Ideal for customers looking for reliable quality and value.
P10002,Maybelline Makeup Brush Set,Beauty,Maybelline,3294.69,3.2,22,5,RetailHub,Maybelline Makeup Brush Set is a lightweight beauty product with long battery life. Ideal for customers looking for reliable quality and value.
P10003,Puma Men Cotton T-Shirt,Fashion,Puma,5423.15,3.3,162,30,QuickCart,Puma Men Cotton T-Shirt is a premium fashion product with fast charging. Ideal for customers looking for reliable quality and value.
P10004,Penguin Productivity Habits,Books,Penguin,683.68,4.3,204,10,ValueMart,Penguin Productivity Habits is a stylish books product with machine washable. Ideal for customers looking for reliable quality and value.
P10005,McGraw Hill Travel Stories,Books,McGraw Hill,1307.56,3.2,163,5,DailyDeals,McGraw Hill Travel Stories is a high-performance books product with water resistant. Ideal for customers looking for reliable quality and value.
P10006,Minimalist Makeup Brush Set,Beauty,Minimalist,3400.82,4.0,146,30,TrustedStore,Minimalist Makeup Brush Set is a high-performance beauty product with fast charging. Ideal for customers looking for reliable quality and value.
P10007,Dell Smart Watch,Electronics,Dell,8202.69,4.5,123,0,ShopNest,Dell Smart Watch is a best-selling electronics product with water resistant. Ideal for customers looking for reliable quality and value.
P10008,Wonderchef Water Bottle,Home,Wonderchef,1996.41,4.3,217,40,ShopNest,Wonderchef Water Bottle is a high-performance home product with machine washable. Ideal for customers looking for reliable quality and value.
P10009,Boat Laptop Stand,Electronics,Boat,31541.36,3.4,56,20,RetailHub,Boat Laptop Stand is a stylish electronics product with fast charging. Ideal for customers looking for reliable quality and value.
P10010,Nivea Hair Dryer,Beauty,Nivea,1152.33,4.7,44,25,UrbanBasket,Nivea Hair Dryer is a best-selling beauty product with fast charging. Ideal for customers looking for reliable quality and value.
P10011,WOW Moisturizer,Beauty,WOW,1461.32,4.9,181,25,ShopNest,WOW Moisturizer is a compact beauty product with noise cancellation. Ideal for customers looking for reliable quality and value.
P10012,Borosil Bedsheet Set,Home,Borosil,4984.05,3.9,170,30,TrustedStore,Borosil Bedsheet Set is a budget-friendly home product with travel friendly. Ideal for customers looking for reliable quality and value.
P10013,Ikea LED Table Lamp,Home,Ikea,2522.66,4.9,156,20,UrbanBasket,Ikea LED Table Lamp is a lightweight home product with noise cancellation. Ideal for customers looking for reliable quality and value.
P10014,Sony Webcam,Electronics,Sony,36929.65,4.8,212,5,UrbanBasket,Sony Webcam is a high-performance electronics product with machine washable. Ideal for customers looking for reliable quality and value.
P10015,Dell Portable SSD,Electronics,Dell,28622.39,3.5,179,25,QuickCart,Dell Portable SSD is a budget-friendly electronics product with easy maintenance. Ideal for customers looking for reliable quality and value.
P10016,Borosil Bedsheet Set,Home,Borosil,4941.0,4.4,121,30,DailyDeals,Borosil Bedsheet Set is a premium home product with ergonomic design. Ideal for customers looking for reliable quality and value.
P10017,Borosil Air Fryer,Home,Borosil,1479.94,3.3,91,15,UrbanBasket,Borosil Air Fryer is a premium home product with fast charging. Ideal for customers looking for reliable quality and value.
P10018,Dell USB-C Fast Charger,Electronics,Dell,20934.21,3.3,58,0,ValueMart,Dell USB-C Fast Charger is a stylish electronics product with easy maintenance. Ideal for customers looking for reliable quality and value.
P10019,Dell Webcam,Electronics,Dell,40214.13,3.4,80,15,RetailHub,Dell Webcam is a durable electronics product with soft fabric. Ideal for customers looking for reliable quality and value.
P10020,H&M Yoga Leggings,Fashion,H&M,3920.73,4.0,184,30,ShopNest,H&M Yoga Leggings is a premium fashion product with machine washable. Ideal for customers looking for reliable quality and value.
P10021,Samsung Wireless Bluetooth Headphones,Electronics,Samsung,23178.72,4.7,44,30,ValueMart,Samsung Wireless Bluetooth Headphones is a compact electronics product with noise cancellation. Ideal for customers looking for reliable quality and value.
P10022,Borosil Bedsheet Set,Home,Borosil,3698.46,4.0,155,10,QuickCart,Borosil Bedsheet Set is a stylish home product with AI-ready. Ideal for customers looking for reliable quality and value.
P10023,Allen Solly Women Running Shoes,Fashion,Allen Solly,3400.53,4.6,180,20,ShopNest,Allen Solly Women Running Shoes is a compact fashion product with machine washable. Ideal for customers looking for reliable quality and value.
P10024,Dell Gaming Mouse,Electronics,Dell,18823.75,4.1,158,5,DailyDeals,Dell Gaming Mouse is a premium electronics product with noise cancellation. Ideal for customers looking for reliable quality and value.
P10025,WOW Makeup Brush Set,Beauty,WOW,949.5,3.2,211,40,TrustedStore,WOW Makeup Brush Set is a eco-friendly beauty product with long battery life. Ideal for customers looking for reliable quality and value.
P10026,Mamaearth Hair Dryer,Beauty,Mamaearth,2225.21,4.3,56,20,QuickCart,Mamaearth Hair Dryer is a compact beauty product with ergonomic design. Ideal for customers looking for reliable quality and value.
P10027,Zara Handbag,Fashion,Zara,3791.66,3.7,28,20,UrbanBasket,Zara Handbag is a compact fashion product with machine washable. Ideal for customers looking for reliable quality and value.
P10028,HarperCollins Mindfulness Guide,Books,HarperCollins,577.89,4.8,219,15,UrbanBasket,HarperCollins Mindfulness Guide is a customer-favorite books product with soft fabric. Ideal for customers looking for reliable quality and value.
P10029,McGraw Hill History of India,Books,McGraw Hill,1429.52,4.7,93,0,TrustedStore,McGraw Hill History of India is a eco-friendly books product with ergonomic design. Ideal for customers looking for reliable quality and value.
P10030,Wonderchef Non-Stick Frying Pan,Home,Wonderchef,218.07,4.7,166,25,TrustedStore,Wonderchef Non-Stick Frying Pan is a lightweight home product with easy maintenance. Ideal for customers looking for reliable quality and value.
